question|answer
je ne peux pas le croire. j'ai dessiné des tableaux comme ça en troisième année. Où sont-elles?|peut-être qu'ils valent des millions.
à quoi ça sert?|le but de quoi
le but de quoi ?|de vie.
de vie. qui sait?|tu vis, et puis tu meurs.
qui sait?|tu vis, et puis tu meurs. nous devons être ici pour une raison quelconque.
nous devons être ici pour une raison quelconque.|peut-être que nous sommes ici pour nous amuser 
peut-être que nous sommes ici pour nous amuser.|alors pourquoi je ne m'amuse pas ? 
alors pourquoi je ne m'amuse pas ?|parce que tu réfléchis trop.
parce que tu réfléchis trop.|alors je devrais arrêter de penser ? 
alors je devrais arrêter de penser ?|arrêtez de penser à quoi ça sert.
arrêtez de penser à quoi ça sert.|d'accord je vais commencer à penser à m'amuser 
d'accord.|je vais commencer à penser à m'amuser soyez juste patient le plaisir n'arrive pas toutes les cinq minutes 
la bière est une drogue puissante.|les cigarettes aussi 
les cigarettes aussi.|lequel préféreriez-vous ? 
lequel préféreriez-vous ?|que veux-tu dire
que veux-tu dire ?|quand tu mourras et que tu iras au paradis, ils t'offriront de la bière ou des cigarettes.
quand tu mourras et que tu iras au paradis, ils t'offriront de la bière ou des cigarettes.|je ne pourrais choisir que l'un ou l'autre ? 
je ne pourrais choisir que l'un ou l'autre ?|Oui. rien n'est parfait, même pas au paradis.
Oui.|rien n'est parfait, même pas au paradis mon garçon, c'est une question difficile 
mon garçon, c'est une question difficile. qu'est-ce qu'il y a de si dur là-dedans ?|bien sûr, je choisirais des cigarettes.
qu'est-ce qu'il y a de si dur là-dedans ?|bien sûr, je choisirais des cigarettes. mais les cigarettes ont bien meilleur goût quand on boit une bière fraîche.
mais les cigarettes ont bien meilleur goût quand on boit une bière fraîche.|eh bien, on ne peut pas tout avoir 
eh bien, on ne peut pas tout avoir.|je ne pense pas que je veuille aller à ton paradis 
mon pantalon a un trou dans la poche avant.|vous ne devriez pas avoir de stylos dans votre poche 
vous ne devriez pas avoir de stylos dans votre poche.|hier, un stylo est tombé à travers mon pantalon sur ma chaussure 
hier, un stylo est tombé à travers mon pantalon sur ma chaussure.|Heureusement pour toi, ce n'était pas un couteau tranchant 
Heureusement pour toi, ce n'était pas un couteau tranchant.|
qui porte un couteau bien aiguisé dans sa poche ?|des criminels, bien sûr.
des criminels, bien sûr.|de toute façon, je dois réparer le trou 
de toute façon, je dois réparer le trou.|vous pouvez le coudre ou utiliser un patch thermocollant 
vous pouvez le coudre ou utiliser un patch thermocollant.|parlez-moi de ce patch 
parlez-moi de ce patch.|le patch a de la colle le fer chaud fait fondre la colle pour que le patch colle 
le patch a de la colle.|le fer chaud fait fondre la colle pour que le patch colle cela semble beaucoup plus facile que de coudre 
cela semble beaucoup plus facile que de coudre.|c'est mais après une dizaine de lavages, la colle s'enlève 
tu connais de bonnes blagues ?|je ne me souviens pas des blagues.
je ne me souviens pas des blagues.|moi non plus 
moi non plus.|ils entrent par une oreille et sortent par l'autre 
ils entrent par une oreille et sortent par l'autre.|
qui invente toutes ces blagues ?|qui sait? mais il doit y en avoir cent nouveaux chaque jour.
qui sait?|mais il doit y en avoir cent nouveaux chaque jour. oui, juste en anglais seulement.
bien sûr! partout, les gens aiment les bonnes blagues.|Selon vous, de quoi les gens plaisantent-ils le plus ? 
Selon vous, de quoi les gens plaisantent-ils le plus ?|je pense que la plupart des blagues concernent les femmes.
je pense que la plupart des blagues concernent les femmes. oh vraiment?|je pense que la plupart des blagues concernent les hommes !
tu es très chanceux.|Pourquoi dites vous cela? 
Pourquoi dites vous cela?|vous parlez deux langues.
vous parlez deux langues.|eh bien, mon anglais n'est pas parfait 
eh bien, mon anglais n'est pas parfait.|personne ne parle un anglais parfait 
personne ne parle un anglais parfait.|peut-être que je serai le premier ! 
peut-être que je serai le premier ! j'ai pensé à apprendre l'espagnol.|
j'ai pensé à apprendre l'espagnol.|l'espagnol est facile je serai heureux de vous apprendre 
l'espagnol est facile.|je serai heureux de vous apprendre combien de temps me faudra-t-il pour apprendre ? 
combien de temps me faudra-t-il pour apprendre ?|je pense que cela ne vous prendra qu'un an ou deux.
je pense que cela ne vous prendra qu'un an ou deux.|dans combien de temps pouvons-nous commencer ? 
dans combien de temps pouvons-nous commencer ?|ahora! cela veut dire maintenant.
Sais-tu quel jour on est?|oui, nous sommes le 22 avril.
oui, nous sommes le 22 avril.|c'est plus qu'un simple rendez-vous 
c'est plus qu'un simple rendez-vous.|c'est ton anniversaire ou ton anniversaire ? 
c'est ton anniversaire ou ton anniversaire ?|non, c'est le jour de la terre.
non, c'est le jour de la terre.|Qu'est ce que c'est? 
Qu'est ce que c'est?|c'est un rappel annuel de prendre soin de notre planète.
c'est un rappel annuel de prendre soin de notre planète.|oh, tu veux dire comme réutiliser des choses et recycler des trucs ? 
oh, tu veux dire comme réutiliser des choses et recycler des trucs ?|Oui. nous devons penser vert, économiser l’eau et arrêter d’utiliser des sacs en plastique.
Oui.|nous devons penser vert, économiser l’eau et arrêter d’utiliser des sacs en plastique et si je prenais des douches plus courtes ? 
et si je prenais des douches plus courtes ?|c'est une bonne idée,
c'est une bonne idée, car les douches gaspillent beaucoup d'eau.|à partir de maintenant, je ne passerai plus que 20 minutes sous la douche 
la poésie est nulle.|je ne connais personne qui aime ça 
je ne connais personne qui aime ça.|une partie va bien, je suppose 
une partie va bien, je suppose.|oui, les poèmes qui riment et sont faciles à retenir 
oui, les poèmes qui riment et sont faciles à retenir.|comme "un, deux, boucle ma chaussure" 
comme "un, deux, boucle ma chaussure".|mais les gens écrivent encore des poèmes 
mais les gens écrivent encore des poèmes.|personne ne gagne d’argent avec ça 
personne ne gagne d’argent avec ça.|Shakespeare était un poète 
Shakespeare était un poète.|est-il devenu riche grâce à sa poésie ? 
est-il devenu riche grâce à sa poésie ?|probablement pas.
probablement pas.|
les poèmes sont un peu comme les chansons.|oui, mais les chansons ont de la musique sans musique, les chansons aussi seraient nulles 
à quel point es-tu intelligent ?|je ne sais pas. je pense que je suis moyen.
je ne sais pas.|je pense que je suis moyen as-tu déjà fait un test de QI ? 
as-tu déjà fait un test de QI ?|non, je ne l'ai jamais fait. tout ce que je sais, c'est que j'ai eu des A et des B à la banque.
non, je ne l'ai jamais fait.|tout ce que je sais, c'est que j'ai eu des A et des B à la banque j'aurais aimé être vraiment intelligent 
j'aurais aimé être vraiment intelligent.|ne sois pas ridicule 
ne sois pas ridicule.|que veux-tu dire ? 
que veux-tu dire ?|si vous voulez faire un vœu, souhaitez être vraiment riche ou célèbre.
si vous voulez faire un vœu, souhaitez être vraiment riche ou célèbre.|tu ne te demandes jamais ce que ça fait d'être super intelligent ? 
tu ne te demandes jamais ce que ça fait d'être super intelligent ?|ça doit être très solitaire.
ça doit être très solitaire.|pourquoi ça? 
pourquoi ça?|parce que si vous êtes super intelligent, personne ne comprend ce que vous dites.
j'ai raté les informations télévisées hier soir. qu'est-ce qui se passait ?|rien qui puisse passer pour une nouvelle.
rien qui puisse passer pour une nouvelle.|quel temps fera-t-il ce week-end ? 
quel temps fera-t-il ce week-end ?|je ne sais pas. dès que le temps se lève, je change de chaîne.
je ne sais pas.|dès que le temps se lève, je change de chaîne quel était l'article principal de l'actualité ? 
quel était l'article principal de l'actualité ?|une actrice était au tribunal pour conduite sans permis.
une actrice était au tribunal pour conduite sans permis.|quelle était la deuxième histoire ? 
quelle était la deuxième histoire ?|un acteur a épousé une femme assez jeune pour être sa fille.
un acteur a épousé une femme assez jeune pour être sa fille.|quelle était la troisième histoire ? 
quelle était la troisième histoire ?|un taureau a poursuivi un homme dans un supermarché.
un taureau a poursuivi un homme dans un supermarché.|il n'y avait rien à propos d'Octo-maman ? 
il n'y avait rien à propos d'Octo-maman ?|bien sûr.
qu'allez-vous faire de votre mort ?|eh bien, je vais surtout essayer de l'éviter.
eh bien, je vais surtout essayer de l'éviter.|je veux dire, vas-tu être enterré ou incinéré ? 
je veux dire, vas-tu être enterré ou incinéré ?|ma femme et moi serons incinérés.
ma femme et moi serons incinérés.|allez-vous être enterrés l'un à côté de l'autre ? 
allez-vous être enterrés l'un à côté de l'autre ?|oh non. nos cendres seront secouées dans l'océan.
oh non.|nos cendres seront secouées dans l'océan tu ne vas pas être enterré ? 
tu ne vas pas être enterré ?|un cercueil coûte trop cher et prend trop de place.
oui, mais ce sera dans un cimetière où vos enfants pourront vous rendre visite.|les enfants rendent rarement visite à leurs parents dans un cimetière 
les enfants rendent rarement visite à leurs parents dans un cimetière.|c'est vrai un cimetière est destiné aux morts, pas aux vivants 
Qu'est-ce que tu as fait?|j'ai arrosé toutes les plantes.
puis j'ai fait ma lessive.|cela prend du temps 
cela prend du temps.|j'ai emmené le chien faire une promenade 
j'ai emmené le chien faire une promenade.|je parie qu'il a apprécié sa promenade 
je parie qu'il a apprécié sa promenade.|j'ai passé l'aspirateur dans toute la maison 
j'ai passé l'aspirateur dans toute la maison.|ça fait beaucoup de travail 
ça fait beaucoup de travail.|et puis j'ai préparé le déjeuner 
et puis j'ai préparé le déjeuner.|je parie que tu avais faim ! 
je n'ai pas de service interurbain avec mon téléphone résidentiel.|alors, comment passer des appels longue distance ? 
alors, comment passer des appels longue distance ?|j'utilise une carte téléphonique.
j'utilise une carte téléphonique.|Où as tu obtenu ça? 
Où as tu obtenu ça?|je l'achète au magasin à un dollar.
je l'achète au magasin à un dollar.|combien ça coûte? 
combien ça coûte?|c'est un dollar pour 100 minutes.
c'est un dollar pour 100 minutes.|c'est seulement un centime par minute ! 
c'est seulement un centime par minute ! c'est un très bon prix.|mais il faut composer beaucoup de numéros 
c'est un très bon prix.|mais il faut composer beaucoup de numéros combien? 
combien?|vous composez d’abord sept numéros, puis dix numéros, puis dix autres numéros.
vous composez d’abord sept numéros, puis dix numéros, puis dix autres numéros.|ouais je pense que je vais garder mon service interurbain 
tu vas à l'université ?|oui je le fais.
oui je le fais.|dans quelle université vas-tu ? 
dans quelle université vas-tu ?|Je vais au Pasadena City College.
Je vais au Pasadena City College.|aimez-vous? 
aimez-vous?|oh oui, j'aime vraiment ça.
oh oui, j'aime vraiment ça.|pourquoi l'aimes tu? 
pourquoi l'aimes tu?|parce qu'il a d'excellents professeurs.
parce qu'il a d'excellents professeurs.|quoi d'autre? 
quoi d'autre?|j'aime aussi tous mes camarades de classe.
j'aime aussi tous mes camarades de classe.|rien d'autre? 
rien d'autre?|Oui. ce n'est pas chère!
j'ai perdu mon nouveau stylo.|où l'as-tu perdu ? 
où l'as-tu perdu ?|je ne sais pas.
je ne sais pas.|quand l'as-tu perdu ? 
quand l'as-tu perdu ?|je pense que je l'ai perdu aujourd'hui. je l'ai utilisé hier.
je pense que je l'ai perdu aujourd'hui.|je l'ai utilisé hier as-tu vérifié toutes tes poches ? 
as-tu vérifié toutes tes poches ?|j'ai vérifié toutes mes poches.
j'ai vérifié toutes mes poches.|as-tu regardé dans ton bureau ? 
as-tu regardé dans ton bureau ?|Oui. il n'y est pas non plus.
Oui.|il n'y est pas non plus c'est probablement quelque part 
c'est probablement quelque part.|oh, eh bien, ça ne m'a coûté qu'un dollar 
oh, eh bien, ça ne m'a coûté qu'un dollar. seulement un dollar ?|ne le cherchez même pas.
la gravité est très importante.|qu'est-ce que la gravité ? 
qu'est-ce que la gravité ?|c'est la force qui tire tout vers le bas.
c'est la force qui tire tout vers le bas.|je ne comprends pas 
je ne comprends pas.|si vous versez de l'eau dans un verre, l'eau descend dans le verre 
si vous versez de l'eau dans un verre, l'eau descend dans le verre.|bien sûr que oui 
bien sûr que oui.|sans gravité, l'eau monterait 
sans gravité, l'eau monterait.|tu rigoles 
tu rigoles.|sans gravité, vous monteriez 
sans gravité, vous monteriez.|que veux-tu dire ? 
que veux-tu dire ?|tu flotterais dans le ciel comme un ballon.
tu flotterais dans le ciel comme un ballon.|ce serait amusant! 
je ne peux pas lire mon livre.|allume la lumière 
allume la lumière.|la lumière est allumée 
la lumière est allumée.|ouvrir le livre 
ouvrir le livre.|le livre est ouvert 
le livre est ouvert.|consultez un ophtalmologiste 
consultez un ophtalmologiste.|c'est ce que je dois faire 
c'est ce que je dois faire.|il vous donnera une ordonnance pour des lunettes 
il vous donnera une ordonnance pour des lunettes.|je prendrai rendez-vous demain 
je prendrai rendez-vous demain.|je vais chercher les pages jaunes pour un ophtalmologiste 
je vais chercher les pages jaunes pour un ophtalmologiste.|lisez-moi le numéro de téléphone 
lisez-moi le numéro de téléphone.|je vais le lire très fort, au cas où ton audition se détériorerait également 
de quoi as-tu besoin pour la banque ?|j'ai besoin de crayons.
j'ai besoin de crayons.|rien d'autre? 
rien d'autre?|j'ai besoin d'un cahier.
j'ai besoin d'un cahier.|as-tu besoin d'un stylo ? 
as-tu besoin d'un stylo ?|Non. j'ai déjà un stylo.
Non.|j'ai déjà un stylo as-tu besoin d'une calculatrice ? 
as-tu besoin d'une calculatrice ?|Non. le professeur n'autorise pas les calculatrices.
Non.|le professeur n'autorise pas les calculatrices que diriez-vous d'un dictionnaire ? 
que diriez-vous d'un dictionnaire ?|non, nous avons un gros dictionnaire dans la classe.
